Titre,Annee_de_sortie,Duree,Genre,Realisateur,Note,Nombre_de_votants,Acteurs,Affiche,Recettes
Actor in Law,2016,116,"['Comedy', 'Drama', 'Romance']",Nabeel Qureshi,7.5,2793.0,Om Puri,/1EmBwDBXCJlfmcYNUUa7lJdBlvs.jpg,4800000.0
Actor in Law,2016,116,"['Comedy', 'Drama', 'Romance']",Nabeel Qureshi,7.5,2793.0,Nayyar Ejaz,/1EmBwDBXCJlfmcYNUUa7lJdBlvs.jpg,4800000.0
Kali,2016,115,"['Action', 'Thriller']",Sameer Thahir,7.0,5209.0,Dulquer Salmaan,/nZmiiPFDaB070nV8P5nN4Ak3oOk.jpg,2400000.0
Kali,2016,115,"['Action', 'Thriller']",Sameer Thahir,7.0,5209.0,Sai Pallavi,/nZmiiPFDaB070nV8P5nN4Ak3oOk.jpg,2400000.0
Kali,2016,115,"['Action', 'Thriller']",Sameer Thahir,7.0,5209.0,Vinayakan,/nZmiiPFDaB070nV8P5nN4Ak3oOk.jpg,2400000.0
Kali,2016,115,"['Action', 'Thriller']",Sameer Thahir,7.0,5209.0,Chemban Vinod Jose,/nZmiiPFDaB070nV8P5nN4Ak3oOk.jpg,2400000.0
Mirror Game,2016,147,"['Crime', 'Mystery', 'Thriller']",Amitabh Reza Chowdhury,9.0,29213.0,Chanchal Chowdhury,/1Cz5Q7PH2JklNV7OzMkTenPGrEf.jpg,246840.0
Mirror Game,2016,147,"['Crime', 'Mystery', 'Thriller']",Amitabh Reza Chowdhury,9.0,29213.0,Masuma Rahman Nabila,/1Cz5Q7PH2JklNV7OzMkTenPGrEf.jpg,246840.0
Mirror Game,2016,147,"['Crime', 'Mystery', 'Thriller']",Amitabh Reza Chowdhury,9.0,29213.0,Partha Barua,/1Cz5Q7PH2JklNV7OzMkTenPGrEf.jpg,246840.0
Mirror Game,2016,147,"['Crime', 'Mystery', 'Thriller']",Amitabh Reza Chowdhury,9.0,29213.0,Lutfur Rahman George,/1Cz5Q7PH2JklNV7OzMkTenPGrEf.jpg,246840.0
Wind River,2017,107,"['Crime', 'Drama', 'Mystery']",Taylor Sheridan,7.7,271892.0,Elizabeth Olsen,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,44998252.0
Wind River,2017,107,"['Crime', 'Drama', 'Mystery']",Taylor Sheridan,7.7,271892.0,Jeremy Renner,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,44998252.0
